c1,c2,sum <= 10,sum <= 4,sum <= 9,sum <= 3,sum = 7,both red,both even,same value,not same color,same color,both odd or both even,not same number,6 <= sum <= 8,one odd and one even,both blue and both odd,blue odd and red even,sum > 8 and only even
1r,2r,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1r,3r,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2r,3r,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1r,4r,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
2r,4r,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
3r,4r,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
1r,5r,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
2r,5r,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
3r,5r,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
4r,5r,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1r,6r,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
2r,6r,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
3r,6r,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
4r,6r,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
5r,6r,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1r,1b,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2r,1b,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
3r,1b,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
4r,1b,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
5r,1b,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
6r,1b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
1r,2b,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2r,2b,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
3r,2b,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
4r,2b,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
5r,2b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
6r,2b,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
1b,2b,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1r,3b,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2r,3b,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
3r,3b,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
4r,3b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
5r,3b,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
6r,3b,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
1b,3b,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
2b,3b,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1r,4b,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2r,4b,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
3r,4b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
4r,4b,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
5r,4b,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6r,4b,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
1b,4b,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2b,4b,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
3b,4b,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
1r,5b,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
2r,5b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
3r,5b,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
4r,5b,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
5r,5b,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
6r,5b,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
1b,5b,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
2b,5b,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
3b,5b,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
4b,5b,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1r,6b,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
2r,6b,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
3r,6b,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
4r,6b,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
5r,6b,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
6r,6b,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1
1b,6b,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
2b,6b,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
3b,6b,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
4b,6b,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
5b,6b,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0